name|category|url|notes|tracking
Machine Pec Deck|Chest|https://www.muscleandstrength.com/exercises/pec-deck.html|Isolation movement for the chest. Removes tricep involvement to fully stretch and contract the pecs.|
Treadmill HIIT Sprints|Cardio|https://www.google.com/search?q=hiit+treadmill+workout+guide|High-intensity interval training. Alternating sprints and rest to maximize calorie burn.|distance-time
Concept 2 Rowing|Cardio|https://www.google.com/search?q=rowing+machine+form+guide|Full-body cardiovascular conditioning. Uses legs, back, and arms for a low-impact burn.|distance-time
Stationary Bike Intervals|Cardio|https://www.google.com/search?q=stationary+bike+interval+workout|Low-impact cardio focusing on leg endurance and cardiovascular health without joint stress.|time-only
Cat-Cow Stretch|Other|https://www.google.com/search?q=cat+cow+stretch+yoga|Spinal mobility flow. Essential for warming up the spine and improving posture.|
Doorway Pec Stretch|Other|https://www.google.com/search?q=doorway+pec+stretch|Chest opener. Stretches the pectorals to combat rounded shoulders from desk work.|
Pigeon Stretch|Other|https://www.google.com/search?q=pigeon+pose+stretch|Deep hip opener. Targets the glutes and piriformis to release tight hips.|
Dips|Chest|https://www.muscleandstrength.com/exercises/dips.html|Builds mass in the chest and triceps while demanding shoulder stability.|
Pull Up|Back|https://www.muscleandstrength.com/exercises/pull-ups.html|The definitive bodyweight back builder. Targets the lats for width and upper back strength.|
Bulgarian Split Squat|Legs|https://www.muscleandstrength.com/exercises/one-leg-dumbbell-squat.html|A brutal unilateral leg exercise. Isolates each quad and glute to fix imbalances.|
Barbell Hip Thrust|Legs|https://www.muscleandstrength.com/exercises/barbell-hip-thrust.html|The best movement for pure glute hypertrophy. Shortens the glute muscle fully under load.|
EZ Bar Skullcrusher|Arms|https://www.muscleandstrength.com/exercises/ez-bar-skullcrusher.html|Isolation movement for the long head of the tricep. Essential for adding size to the arm.|
Dumbbell Hammer Curl|Arms|https://www.muscleandstrength.com/exercises/dumbbell-hammer-curl.html|Neutral grip curl. Targets the brachialis and forearm extensors for arm thickness.|
Arnold Press|Other|https://www.muscleandstrength.com/exercises/arnold-dumbbell-press.html|Shoulder press variation with rotation. Hits all three deltoid heads.|
T-Bar Row|Back|https://www.muscleandstrength.com/exercises/t-bar-row.html|Old-school thickness builder. Allows for heavy weight to be moved using the entire back.|
Machine Hack Squat|Legs|https://www.muscleandstrength.com/exercises/hack-squat.html|Stabilized squat variation. Takes the back out of the equation to load the quads.|
Smith Machine Incline Press|Chest|https://www.muscleandstrength.com/exercises/smith-machine-incine-bench-press.html|Upper chest builder. The fixed path allows you to safely grind out reps.|
Stair Climber|Cardio|https://www.google.com/search?q=stair+climber+workout+benefits|Functional cardio. Builds work capacity while actively engaging the glutes and calves.|time-only
Assault Air Bike|Cardio|https://www.google.com/search?q=assault+bike+sprint+technique|Total body metabolic conditioning. The resistance increases as you push harder.|time-only
Ab Wheel Rollout|Core|https://www.muscleandstrength.com/exercises/ab-wheel-rollout.html|Anti-extension core movement. Effective for deep core strength and abdominal definition.|
Weighted Russian Twist|Core|https://www.muscleandstrength.com/exercises/russian-twist.html|Rotational core movement. Targets the obliques and improves rotational control.|
Cable Crossover|Chest|https://www.muscleandstrength.com/exercises/cable-crossover.html|Chest isolation. Provides constant tension at the peak contraction of the chest.|
Farmer's Walk|Other|https://www.muscleandstrength.com/exercises/farmers-walk.html|Functional carry. Builds iron grip strength, huge traps, and bulletproofs the core.|
World's Greatest Stretch|Other|https://www.google.com/search?q=worlds+greatest+stretch+guide|Total body mobility flow. Opens the hips, t-spine, and hamstrings in one movement.|
Foam Rolling (SMR)|Other|https://www.google.com/search?q=foam+rolling+quads+guide|Self-Myofascial Release. Essential for tissue quality and recovery.|
Push up|Chest|https://www.muscleandstrength.com/exercises/push-up.html|Bodyweight chest builder. Targets the pectorals, anterior deltoids, and triceps.|
Bodyweight Squat|Legs||Bodyweight leg builder. Targets the quads, hamstrings, and glutes while building core stability.|
Bodyweight Lunge|Legs|https://www.muscleandstrength.com/exercises/lunge.html|Bodyweight leg builder. Targets the quads, hamstrings, and glutes while building core stability.|
Dumbbell Step Up|Legs|https://www.muscleandstrength.com/exercises/dumbbell-step-up.html|Bodyweight leg builder. Targets the quads, hamstrings, and glutes while building core stability.|
Bodyweight Glute Bridge|Legs|https://blog.nasm.org/how-to-do-a-glute-bridge|Bodyweight leg builder. Targets the quads, hamstrings, and glutes while building core stability.|
Bodyweight Squat Jump|Legs|https://www.muscleandstrength.com/exercises/bodyweight-jump-squat.html|Bodyweight leg builder. Targets the quads, hamstrings, and glutes while building core stability.|
